epoch,train_loss,val_loss
1,0.02281161851783821,0.05023036199284737
2,0.013943279321330427,0.06896366400239155
3,0.013379577404476503,0.07006446882827125
4,0.012966726699806239,0.09923695598069268
5,0.012684060210097724,0.0586282891064305
6,0.012259108523312565,0.06681435242195827
7,0.011980154874696208,0.05761903917789368
8,0.012384246577045219,0.0603065903423006
9,0.012030934343605434,0.046245026683088025
10,0.011791536025032938,0.04805571326238957
11,0.0119896999683945,0.05989668890736842
12,0.01182377588355937,0.047365824725905746
13,0.011619143015318268,0.061304188565312265
14,0.012143795266126188,0.05072147899800257
15,0.011356181332304285,0.04579467792530825
16,0.011411560905830504,0.08814956132834292
17,0.011596935686087047,0.04790804747362927
18,0.011367450238304776,0.057908064571938665
19,0.011485611524084489,0.06119499080038319
20,0.011266139802809846,0.054633914680046775
21,0.011239484245502107,0.0713602280339425
22,0.010923292475068506,0.06611169925842357
23,0.011018846542473962,0.06695900597890916
24,0.0111313017162551,0.06481721084295107
25,0.011261628153432401,0.062232306582397236
26,0.010975577908417635,0.09259315944849125
27,0.011058574929794429,0.08495694336784254
28,0.01089304008754427,0.08672589394342746
29,0.010753090086498433,0.07556553179135032
30,0.010964632969888073,0.08199229599558748
